CODE*COMPLETO*DESCRIPCION1*DESCRIPCION2
M1A3711*1*Chronic gout due to renal impairment, right ank/ft, w toph*Gota crónica debida a insuficiencia renal, tobillo y pie derechos, con tofos (tofos)
M1A4391*1*Other secondary chronic gout, unspecified wrist, with tophus*Otra gota crónica secundaria, muñeca no especificada, con tofo (tofos)
M1A44*0*Other secondary chronic gout, hand*Otra gota crónica secundaria, mano
M1A441*0*Other secondary chronic gout, right hand*Otra gota crónica secundaria, mano derecha
M1A4410*1*Other secondary chronic gout, right hand, without tophus*Otra gota crónica secundaria, mano derecha, sin tofos (tofos)
M1A4411*1*Other secondary chronic gout, right hand, with tophus*Otra gota crónica secundaria, mano derecha, con tofos (tofos)
M1A442*0*Other secondary chronic gout, left hand*Otra gota crónica secundaria, mano izquierda
M1A4420*1*Other secondary chronic gout, left hand, without tophus*Otra gota crónica secundaria, mano izquierda, sin tofos (tofos)
M1A4421*1*Other secondary chronic gout, left hand, with tophus (tophi)*Otra gota crónica secundaria, mano izquierda, con tofos (tofos)
M1A449*0*Other secondary chronic gout, unspecified hand*Otra gota crónica secundaria, mano no especificada
M1A4490*1*Other secondary chronic gout, unsp hand, without tophus*Otra gota crónica secundaria, mano no especificada, sin tofos (tofos)
M1A4491*1*Other secondary chronic gout, unspecified hand, with tophus*Otra gota crónica secundaria, mano no especificada, con tofo (tofos)
M1280*1*Oth specific arthropathies, NEC, unsp site*Otras artropatías específicas, no clasificadas en otro lugar, localización no especificada
M1281*0*Oth specific arthropathies, NEC, shoulder*Otras artropatías específicas, no clasificadas en otro lugar, hombro
M12811*1*Oth specific arthropathies, NEC, right shoulder*Otras artropatías específicas, no clasificadas en otro lugar, hombro derecho
M12812*1*Oth specific arthropathies, NEC, left shoulder*Otras artropatías específicas, no clasificadas en otro lugar, hombro izquierdo
M12819*1*Oth specific arthropathies, NEC, unsp shoulder*Otras artropatías específicas, no clasificadas en otro lugar, hombro no especificado
M1282*0*Oth specific arthropathies, not elsewhere classified, elbow*Otras artropatías específicas, no clasificadas en otro lugar, codo
M12821*1*Oth specific arthropathies, NEC, right elbow*Otras artropatías específicas, no clasificadas en otro lugar, codo derecho
M12822*1*Oth specific arthropathies, NEC, left elbow*Otras artropatías específicas, no clasificadas en otro lugar, codo izquierdo
M12829*1*Oth specific arthropathies, NEC, unsp elbow*Otras artropatías específicas, no clasificadas en otro lugar, codo no especificado
M1283*0*Oth specific arthropathies, not elsewhere classified, wrist*Otras artropatías específicas, no clasificadas en otro lugar, muñeca
M12831*1*Oth specific arthropathies, NEC, right wrist*Otras artropatías específicas, no clasificadas en otro lugar, muñeca derecha
M12832*1*Oth specific arthropathies, NEC, left wrist*Otras artropatías específicas, no clasificadas en otro lugar, muñeca izquierda
M12839*1*Oth specific arthropathies, NEC, unsp wrist*Otras artropatías específicas, no clasificadas en otro lugar, muñeca no especificada
M1284*0*Other specific arthropathies, not elsewhere classified, hand*Otras artropatías específicas, no clasificadas en otro lugar, mano
M12841*1*Oth specific arthropathies, NEC, right hand*Otras artropatías específicas, no clasificadas en otro lugar, mano derecha
M12842*1*Oth specific arthropathies, NEC, left hand*Otras artropatías específicas, no clasificadas en otro lugar, mano izquierda
M12849*1*Oth specific arthropathies, NEC, unsp hand*Otras artropatías específicas, no clasificadas en otro lugar, mano no especificada
M1285*0*Other specific arthropathies, not elsewhere classified, hip*Otras artropatías específicas, no clasificadas en otro lugar, cadera
M12851*1*Oth specific arthropathies, NEC, right hip*Otras artropatías específicas, no clasificadas en otro lugar, cadera derecha
M12852*1*Oth specific arthropathies, NEC, left hip*Otras artropatías específicas, no clasificadas en otro lugar, cadera izquierda
M12859*1*Oth specific arthropathies, NEC, unsp hip*Otras artropatías específicas, no clasificadas en otro lugar, cadera no especificada
M1286*0*Other specific arthropathies, not elsewhere classified, knee*Otras artropatías específicas, no clasificadas en otro lugar, rodilla
M12861*1*Oth specific arthropathies, NEC, right knee*Otras artropatías específicas, no clasificadas en otro lugar, rodilla derecha
M12862*1*Oth specific arthropathies, NEC, left knee*Otras artropatías específicas, no clasificadas en otro lugar, rodilla izquierda
M12869*1*Oth specific arthropathies, NEC, unsp knee*Otras artropatías específicas, no clasificadas en otro lugar, rodilla no especificada
M1287*0*Oth specific arthropathies, NEC, ankle and foot*Otras artropatías específicas, no clasificadas en otra parte, tobillo y pie
M12871*1*Oth specific arthropathies, NEC, right ankle and foot*Otras artropatías específicas, no clasificadas en otro lugar, tobillo y pie derechos
M12872*1*Oth specific arthropathies, NEC, left ankle and foot*Otras artropatías específicas, no clasificadas en otra parte, tobillo y pie izquierdos
M12879*1*Oth specific arthropathies, NEC, unsp ankle and foot*Otras artropatías específicas, no clasificadas en otro lugar, tobillo y pie no especificados
M1288*1*Oth specific arthropathies, NEC, oth site*Otras artropatías específicas, no clasificadas en otra parte, otro sitio especificado
M1289*1*Oth specific arthropathies, NEC, multiple sites*Otras artropatías específicas, no clasificadas en otra parte, múltiples localizaciones
M129*1*Arthropathy, unspecified*Artropatía, no especificada
M13*0*Other arthritis*Otras artritis
M130*1*Polyarthritis, unspecified*Poliartritis, no especificada
M131*0*Monoarthritis, not elsewhere classified*Monoartritis, no clasificada en otra parte
M1310*1*Monoarthritis, not elsewhere classified, unspecified site*Monoartritis, no clasificada en otro lugar, localización no especificada
M1311*0*Monoarthritis, not elsewhere classified, shoulder*Monoartritis, no clasificada en otro lugar, hombro
M13111*1*Monoarthritis, not elsewhere classified, right shoulder*Monoartritis, no clasificada en otro lugar, hombro derecho
M13112*1*Monoarthritis, not elsewhere classified, left shoulder*Monoartritis, no clasificada en otro lugar, hombro izquierdo
M13119*1*Monoarthritis, not elsewhere classified, unsp shoulder*Monoartritis, no clasificada en otro lugar, hombro no especificado
M1312*0*Monoarthritis, not elsewhere classified, elbow*Monoartritis, no clasificada en otro lugar, codo
M13121*1*Monoarthritis, not elsewhere classified, right elbow*Monoartritis, no clasificada en otro lugar, codo derecho
M13122*1*Monoarthritis, not elsewhere classified, left elbow*Monoartritis, no clasificada en otro lugar, codo izquierdo
M13129*1*Monoarthritis, not elsewhere classified, unspecified elbow*Monoartritis, no clasificada en otro lugar, codo no especificado
M1313*0*Monoarthritis, not elsewhere classified, wrist*Monoartritis, no clasificada en otro lugar, muñeca
M13131*1*Monoarthritis, not elsewhere classified, right wrist*Monoartritis, no clasificada en otro lugar, muñeca derecha
M13132*1*Monoarthritis, not elsewhere classified, left wrist*Monoartritis, no clasificada en otro lugar, muñeca izquierda
M13139*1*Monoarthritis, not elsewhere classified, unspecified wrist*Monoartritis, no clasificada en otro lugar, muñeca no especificada
M1314*0*Monoarthritis, not elsewhere classified, hand*Monoartritis, no clasificada en otro lugar, mano
M13141*1*Monoarthritis, not elsewhere classified, right hand*Monoartritis, no clasificada en otro lugar, mano derecha
M13142*1*Monoarthritis, not elsewhere classified, left hand*Monoartritis, no clasificada en otro lugar, mano izquierda
M13149*1*Monoarthritis, not elsewhere classified, unspecified hand*Monoartritis, no clasificada en otro lugar, mano no especificada
M1315*0*Monoarthritis, not elsewhere classified, hip*Monoartritis, no clasificada en otro lugar, cadera
M13151*1*Monoarthritis, not elsewhere classified, right hip*Monoartritis, no clasificada en otro lugar, cadera derecha
M13152*1*Monoarthritis, not elsewhere classified, left hip*Monoartritis, no clasificada en otro lugar, cadera izquierda
M13159*1*Monoarthritis, not elsewhere classified, unspecified hip*Monoartritis, no clasificada en otro lugar, cadera no especificada
M1316*0*Monoarthritis, not elsewhere classified, knee*Monoartritis, no clasificada en otro lugar, rodilla
M13161*1*Monoarthritis, not elsewhere classified, right knee*Monoartritis, no clasificada en otro lugar, rodilla derecha
M13162*1*Monoarthritis, not elsewhere classified, left knee*Monoartritis, no clasificada en otro lugar, rodilla izquierda
M13169*1*Monoarthritis, not elsewhere classified, unspecified knee*Monoartritis, no clasificada en otro lugar, rodilla no especificada
M1317*0*Monoarthritis, not elsewhere classified, ankle and foot*Monoartritis, no clasificada en otro lugar, tobillo y pie
M13171*1*Monoarthritis, NEC, right ankle and foot*Monoartritis, no clasificada en otro lugar, tobillo y pie derechos
M13172*1*Monoarthritis, not elsewhere classified, left ankle and foot*Monoartritis, no clasificada en otro lugar, tobillo y pie izquierdos
M13179*1*Monoarthritis, not elsewhere classified, unsp ankle and foot*Monoartritis, no clasificada en otro lugar, tobillo y pie no especificados
M138*0*Other specified arthritis*Otra artritis especificada
M1380*1*Other specified arthritis, unspecified site*Otras artritis especificadas, localización no especificada
M1381*0*Other specified arthritis, shoulder*Otras artritis especificadas, hombro
M13811*1*Other specified arthritis, right shoulder*Otras artritis especificadas, hombro derecho
M13812*1*Other specified arthritis, left shoulder*Otras artritis especificadas, hombro izquierdo
M13819*1*Other specified arthritis, unspecified shoulder*Otras artritis especificadas, hombro no especificado
M1382*0*Other specified arthritis, elbow*Otras artritis especificadas, codo
M13821*1*Other specified arthritis, right elbow*Otras artritis especificadas, codo derecho
M13822*1*Other specified arthritis, left elbow*Otras artritis especificadas, codo izquierdo
M13829*1*Other specified arthritis, unspecified elbow*Otras artritis especificadas, codo no especificado
M1383*0*Other specified arthritis, wrist*Otras artritis especificadas, muñeca
M13831*1*Other specified arthritis, right wrist*Otras artritis especificadas, muñeca derecha
M13832*1*Other specified arthritis, left wrist*Otras artritis especificadas, muñeca izquierda
M13839*1*Other specified arthritis, unspecified wrist*Otras artritis especificadas, muñeca no especificada
M1384*0*Other specified arthritis, hand*Otras artritis especificadas, mano
M13841*1*Other specified arthritis, right hand*Otras artritis especificadas, mano derecha
M13842*1*Other specified arthritis, left hand*Otras artritis especificadas, mano izquierda
M13849*1*Other specified arthritis, unspecified hand*Otras artritis especificadas, mano no especificada
M1385*0*Other specified arthritis, hip*Otras artritis especificadas, cadera
M13851*1*Other specified arthritis, right hip*Otras artritis especificadas, cadera derecha
M13852*1*Other specified arthritis, left hip*Otras artritis especificadas, cadera izquierda
M13859*1*Other specified arthritis, unspecified hip*Otras artritis especificadas, cadera no especificada
M1386*0*Other specified arthritis, knee*Otras artritis especificadas, rodilla
M13861*1*Other specified arthritis, right knee*Otras artritis especificadas, rodilla derecha
M13862*1*Other specified arthritis, left knee*Otras artritis especificadas, rodilla izquierda
M13869*1*Other specified arthritis, unspecified knee*Otras artritis especificadas, rodilla no especificada
M1387*0*Other specified arthritis, ankle and foot*Otras artritis especificadas, tobillo y pie
M13871*1*Other specified arthritis, right ankle and foot*Otras artritis especificadas, tobillo y pie derechos
M13872*1*Other specified arthritis, left ankle and foot*Otras artritis especificadas, tobillo y pie izquierdos
M13879*1*Other specified arthritis, unspecified ankle and foot*Otras artritis especificadas, tobillo y pie no especificados
M1388*1*Other specified arthritis, other site*Otra artritis especificada, otro sitio
M1389*1*Other specified arthritis, multiple sites*Otras artritis especificadas, sitios múltiples
M14*0*Arthropathies in other diseases classified elsewhere*Artropatías en otras enfermedades clasificadas en otra parte
M146*0*Charcot's joint*Porro de charcot
M1460*1*Charcot's joint, unspecified site*Articulación de Charcot, localización no especificada
M1461*0*Charcot's joint, shoulder*Articulación de Charcot, hombro
M14611*1*Charcot's joint, right shoulder*Articulación de Charcot, hombro derecho
M14612*1*Charcot's joint, left shoulder*Articulación de Charcot, hombro izquierdo
M14619*1*Charcot's joint, unspecified shoulder*Articulación de Charcot, hombro no especificado
M1462*0*Charcot's joint, elbow*Articulación de Charcot, codo
M14621*1*Charcot's joint, right elbow*Articulación de Charcot, codo derecho
M14622*1*Charcot's joint, left elbow*Articulación de Charcot, codo izquierdo
M14629*1*Charcot's joint, unspecified elbow*Articulación de Charcot, codo no especificado
M1463*0*Charcot's joint, wrist*Articulación de Charcot, muñeca
M14631*1*Charcot's joint, right wrist*Articulación de Charcot, muñeca derecha
M14632*1*Charcot's joint, left wrist*Articulación de Charcot, muñeca izquierda
M14639*1*Charcot's joint, unspecified wrist*Articulación de Charcot, muñeca no especificada
M1464*0*Charcot's joint, hand*Porro de Charcot, mano
M14641*1*Charcot's joint, right hand*Articulación de Charcot, mano derecha
M14642*1*Charcot's joint, left hand*Articulación de Charcot, mano izquierda
M14649*1*Charcot's joint, unspecified hand*Articulación de Charcot, mano no especificada
M1465*0*Charcot's joint, hip*Articulación de Charcot, cadera
M14651*1*Charcot's joint, right hip*Articulación de Charcot, cadera derecha
M14652*1*Charcot's joint, left hip*Articulación de Charcot, cadera izquierda
M14659*1*Charcot's joint, unspecified hip*Articulación de Charcot, cadera no especificada
M1466*0*Charcot's joint, knee*Articulación de Charcot, rodilla
M14661*1*Charcot's joint, right knee*Articulación de Charcot, rodilla derecha
M14662*1*Charcot's joint, left knee*Articulación de Charcot, rodilla izquierda
M14669*1*Charcot's joint, unspecified knee*Articulación de Charcot, rodilla no especificada
M1467*0*Charcot's joint, ankle and foot*Articulación, tobillo y pie de Charcot
M14671*1*Charcot's joint, right ankle and foot*Articulación de Charcot, tobillo y pie derecho
M14672*1*Charcot's joint, left ankle and foot*Articulación de Charcot, tobillo y pie izquierdos
M14679*1*Charcot's joint, unspecified ankle and foot*Articulación de Charcot, tobillo y pie no especificados
M1468*1*Charcot's joint, vertebrae*Articulación de Charcot, vértebras
M1469*1*Charcot's joint, multiple sites*Conjunto de Charcot, múltiples sitios
M148*0*Arthropathies in oth diseases classified elsewhere*Artropatías en otras enfermedades especificadas clasificadas en otra parte
M1480*1*Arthropathies in oth diseases classd elswhr, unsp site*Artropatías en otras enfermedades especificadas clasificadas en otro lugar, localización no especificada
M1481*0*Arthropathies in oth diseases classified elsewhere, shoulder*Artropatías en otras enfermedades especificadas clasificadas en otra parte, hombro
M14811*1*Arthropathies in oth diseases classd elswhr, right shoulder*Artropatías en otras enfermedades especificadas clasificadas en otra parte, hombro derecho
M14812*1*Arthropathies in oth diseases classd elswhr, left shoulder*Artropatías en otras enfermedades especificadas clasificadas en otra parte, hombro izquierdo
M14819*1*Arthropathies in oth diseases classd elswhr, unsp shoulder*Artropatías en otras enfermedades especificadas clasificadas en otra parte, hombro no especificado
M1482*0*Arthropathies in oth diseases classified elsewhere, elbow*Artropatías en otras enfermedades especificadas clasificadas en otra parte, codo
M14821*1*Arthropathies in oth diseases classd elswhr, right elbow*Artropatías en otras enfermedades especificadas clasificadas en otro lugar, codo derecho
M14822*1*Arthropathies in oth diseases classd elswhr, left elbow*Artropatías en otras enfermedades especificadas clasificadas en otra parte, codo izquierdo
M14829*1*Arthropathies in oth diseases classd elswhr, unsp elbow*Artropatías en otras enfermedades especificadas clasificadas en otra parte, codo no especificado
M1483*0*Arthropathies in oth diseases classified elsewhere, wrist*Artropatías en otras enfermedades especificadas clasificadas en otro lugar, muñeca
M14831*1*Arthropathies in oth diseases classd elswhr, right wrist*Artropatías en otras enfermedades especificadas clasificadas en otro lugar, muñeca derecha
M14832*1*Arthropathies in oth diseases classd elswhr, left wrist*Artropatías en otras enfermedades especificadas clasificadas en otro lugar, muñeca izquierda
M14839*1*Arthropathies in oth diseases classd elswhr, unsp wrist*Artropatías en otras enfermedades especificadas clasificadas en otra parte, muñeca no especificada
M1484*0*Arthropathies in oth diseases classified elsewhere, hand*Artropatías en otras enfermedades especificadas clasificadas en otra parte, mano
M14841*1*Arthropathies in oth diseases classd elswhr, right hand*Artropatías en otras enfermedades especificadas clasificadas en otro lugar, mano derecha
M14842*1*Arthropathies in oth diseases classd elswhr, left hand*Artropatías en otras enfermedades especificadas clasificadas en otro lugar, mano izquierda
M14849*1*Arthropathies in oth diseases classd elswhr, unsp hand*Artropatías en otras enfermedades especificadas clasificadas en otra parte, mano no especificada
M1485*0*Arthropathies in oth diseases classified elsewhere, hip*Artropatías en otras enfermedades especificadas clasificadas en otro lugar, cadera
M14851*1*Arthropathies in oth diseases classd elswhr, right hip*Artropatías en otras enfermedades especificadas clasificadas en otro lugar, cadera derecha
M14852*1*Arthropathies in oth diseases classified elsewhere, left hip*Artropatías en otras enfermedades especificadas clasificadas en otro lugar, cadera izquierda
M14859*1*Arthropathies in oth diseases classified elsewhere, unsp hip*Artropatías en otras enfermedades especificadas clasificadas en otra parte, cadera no especificada
M1486*0*Arthropathies in oth diseases classified elsewhere, knee*Artropatías en otras enfermedades especificadas clasificadas en otro lugar, rodilla
M14861*1*Arthropathies in oth diseases classd elswhr, right knee*Artropatías en otras enfermedades especificadas clasificadas en otro lugar, rodilla derecha
M14862*1*Arthropathies in oth diseases classd elswhr, left knee*Artropatías en otras enfermedades especificadas clasificadas en otro lugar, rodilla izquierda
M14869*1*Arthropathies in oth diseases classd elswhr, unsp knee*Artropatías en otras enfermedades especificadas clasificadas en otro lugar, rodilla no especificada
M1487*0*Arthropathies in oth diseases classd elswhr, ankle and foot*Artropatías en otras enfermedades especificadas clasificadas en otra parte, tobillo y pie
M14871*1*Arthropathies in oth diseases classd elswhr, right ank/ft*Artropatías en otras enfermedades especificadas clasificadas en otra parte, tobillo y pie derechos
M14872*1*Arthropathies in oth diseases classd elswhr, left ank/ft*Artropatías en otras enfermedades especificadas clasificadas en otra parte, tobillo y pie izquierdos
M14879*1*Arthropathies in oth diseases classd elswhr, unsp ank/ft*Artropatías en otras enfermedades especificadas clasificadas en otra parte, tobillo y pie no especificados
M1488*1*Arthropathies in oth diseases classd elswhr, vertebrae*Artropatías en otras enfermedades especificadas clasificadas en otra parte, vértebras
M1489*1*Arthropathies in oth diseases classd elswhr, multiple sites*Artropatías en otras enfermedades especificadas clasificadas en otro lugar, sitios múltiples
M15*0*Polyosteoarthritis*Poliosteoartritis
M150*1*Primary generalized (osteo)arthritis*Artritis primaria generalizada (osteo)
M151*1*Heberden's nodes (with arthropathy)*Nódulos de Heberden (con artropatía)
M152*1*Bouchard's nodes (with arthropathy)*Ganglios de Bouchard (con artropatía)
M153*1*Secondary multiple arthritis*Artritis múltiple secundaria
M154*1*Erosive (osteo)arthritis*Artritis erosiva (osteo)
M158*1*Other polyosteoarthritis*Otras poliosteoartritis
M159*1*Polyosteoarthritis, unspecified*Poliosteoartritis, no especificada
M16*0*Osteoarthritis of hip*Artrosis de cadera
M160*1*Bilateral primary osteoarthritis of hip*Artrosis primaria bilateral de cadera
M161*0*Unilateral primary osteoarthritis of hip*Artrosis primaria unilateral de cadera
M1610*1*Unilateral primary osteoarthritis, unspecified hip*Artrosis primaria unilateral, cadera no especificada
M1611*1*Unilateral primary osteoarthritis, right hip*Artrosis primaria unilateral, cadera derecha
M1612*1*Unilateral primary osteoarthritis, left hip*Artrosis primaria unilateral, cadera izquierda
M162*1*Bilateral osteoarthritis resulting from hip dysplasia*Artrosis bilateral resultante de displasia de cadera
M163*0*Unilateral osteoarthritis resulting from hip dysplasia*Artrosis unilateral resultante de displasia de cadera
M1630*1*Unilateral osteoarth resulting from hip dysplasia, unsp hip*Artrosis unilateral resultante de displasia de cadera, cadera no especificada
M1631*1*Unilateral osteoarth resulting from hip dysplasia, right hip*Artrosis unilateral resultante de displasia de cadera, cadera derecha
M1632*1*Unilateral osteoarth resulting from hip dysplasia, left hip*Artrosis unilateral resultante de displasia de cadera, cadera izquierda
M164*1*Bilateral post-traumatic osteoarthritis of hip*Artrosis de cadera postraumática bilateral
M165*0*Unilateral post-traumatic osteoarthritis of hip*Artrosis postraumática unilateral de cadera
M1650*1*Unilateral post-traumatic osteoarthritis, unspecified hip*Artrosis postraumática unilateral, cadera no especificada
M1651*1*Unilateral post-traumatic osteoarthritis, right hip*Artrosis postraumática unilateral, cadera derecha
M1652*1*Unilateral post-traumatic osteoarthritis, left hip*Artrosis postraumática unilateral, cadera izquierda
M166*1*Other bilateral secondary osteoarthritis of hip*Otra osteoartritis secundaria bilateral de cadera
M167*1*Other unilateral secondary osteoarthritis of hip*Otras artrosis secundarias unilaterales de cadera
M169*1*Osteoarthritis of hip, unspecified*Artrosis de cadera, no especificada
M17*0*Osteoarthritis of knee*Osteoartritis de rodilla
M170*1*Bilateral primary osteoarthritis of knee*Artrosis primaria bilateral de rodilla
M171*0*Unilateral primary osteoarthritis of knee*Artrosis primaria unilateral de rodilla
M1710*1*Unilateral primary osteoarthritis, unspecified knee*Artrosis primaria unilateral, rodilla no especificada
M1711*1*Unilateral primary osteoarthritis, right knee*Artrosis primaria unilateral, rodilla derecha
M1712*1*Unilateral primary osteoarthritis, left knee*Artrosis primaria unilateral, rodilla izquierda
M172*1*Bilateral post-traumatic osteoarthritis of knee*Artrosis de rodilla postraumática bilateral
M173*0*Unilateral post-traumatic osteoarthritis of knee*Artrosis postraumática unilateral de rodilla
M1730*1*Unilateral post-traumatic osteoarthritis, unspecified knee*Artrosis postraumática unilateral, rodilla no especificada
M1731*1*Unilateral post-traumatic osteoarthritis, right knee*Artrosis postraumática unilateral, rodilla derecha
M1732*1*Unilateral post-traumatic osteoarthritis, left knee*Artrosis postraumática unilateral, rodilla izquierda
M174*1*Other bilateral secondary osteoarthritis of knee*Otra osteoartritis secundaria bilateral de rodilla
M175*1*Other unilateral secondary osteoarthritis of knee*Otra osteoartritis secundaria unilateral de rodilla
M179*1*Osteoarthritis of knee, unspecified*Artrosis de rodilla, no especificada
M18*0*Osteoarthritis of first carpometacarpal joint*Artrosis de la primera articulación carpometacarpiana
M180*1*Bilateral primary osteoarth of first carpometacarp joints*Artrosis primaria bilateral de las primeras articulaciones carpometacarpianas
M181*0*Unilateral primary osteoarth of first carpometacarp joint*Artrosis primaria unilateral de la primera articulación carpometacarpiana
M1810*1*Unil prim osteoarth of first carpometacarp joint, unsp hand*Artrosis primaria unilateral de la primera articulación carpometacarpiana, mano no especificada
M1811*1*Unil primary osteoarth of first carpometacarp joint, r hand*Artrosis primaria unilateral de la primera articulación carpometacarpiana, mano derecha
M1812*1*Unil primary osteoarth of first carpometacarp joint, l hand*Artrosis primaria unilateral de la primera articulación carpometacarpiana, mano izquierda
M182*1*Bi post-trauma osteoarth of first carpometacarp joints*Artrosis postraumática bilateral de las primeras articulaciones carpometacarpianas
M183*0*Unil post-trauma osteoarth of first carpometacarp joint*Artrosis postraumática unilateral de la primera articulación carpometacarpiana
M1830*1*Unil post-trauma osteoarth of 1st carpometacarp jt,unsp hand*Artrosis postraumática unilateral de primera articulación carpometacarpiana, mano no especificada
M1831*1*Unil post-trauma osteoarth of 1st carpometacarp jt, r hand*Artrosis postraumática unilateral de primera articulación carpometacarpiana, mano derecha
M1832*1*Unil post-trauma osteoarth of 1st carpometacarp jt, l hand*Artrosis postraumática unilateral de primera articulación carpometacarpiana, mano izquierda
